Times,Y356,Times (micro),Y356/100
0.000000000000000000e+00,0.000000000000000000e+00,0,0
2.500000000000000416e-07,1.141550159232067472e+03,0.25,11.4155015923207
5.000000000000000833e-07,2.134196029864790034e+03,0.5,21.3419602986479
7.500000000000000190e-07,2.995340598984544613e+03,0.75,29.9534059898455
1.000000000000000167e-06,3.740380310102982548e+03,1,37.4038031010298
1.250000000000000102e-06,4.382936000244649222e+03,1.25,43.8293600024465
1.500000000000000038e-06,4.935057264390260571e+03,1.5,49.3505726439026
1.750000000000000186e-06,5.407403304757568549e+03,1.75,54.0740330475757
2.000000000000000333e-06,5.809402970567552074e+03,2,58.0940297056755
2.250000000000000057e-06,6.149396382706136137e+03,2.25,61.4939638270614
2.500000000000000205e-06,6.434760262054964187e+03,2.5,64.3476026205496
2.750000000000000352e-06,6.672018836678358639e+03,2.75,66.7201883667836
3.000000000000000076e-06,6.866941987057773076e+03,3,68.6694198705777
3.250000000000000224e-06,7.024632097894411345e+03,3.25,70.2463209789441
3.500000000000000371e-06,7.149600915816604356e+03,3.5,71.4960091581661
3.750000000000000095e-06,7.245837562986601370e+03,3.75,72.458375629866
4.000000000000000666e-06,7.316868724243096040e+03,4,73.168687242431
4.250000000000000814e-06,7.365811908235001283e+03,4.25,73.65811908235
4.500000000000000114e-06,7.395422579477135514e+03,4.5,73.9542257947714
4.750000000000000262e-06,7.408135866684529901e+03,4.75,74.0813586668453
5.000000000000000409e-06,7.406103471253833959e+03,5,74.0610347125384
5.249999999999999709e-06,7.391226328291453683e+03,5.25,73.9122632829145
5.500000000000000704e-06,7.365183508915673883e+03,5.5,73.6518350891567
5.750000000000000852e-06,7.329457796279276408e+03,5.75,73.2945779627928
6.000000000000000152e-06,7.285358318099762073e+03,6,72.8535831809976
6.250000000000000300e-06,7.234040574303414360e+03,6.25,72.3404057430341
6.500000000000000447e-06,7.176524159580423657e+03,6.5,71.7652415958042
6.750000000000000595e-06,7.113708446148122675e+03,6.75,71.1370844614812
7.000000000000000742e-06,7.046386461215925920e+03,7,70.4638646121593
7.250000000000000043e-06,6.975257167117092649e+03,7.25,69.7525716711709
7.500000000000000190e-06,6.900936327831241215e+03,7.5,69.0093632783124
7.750000000000000338e-06,6.823966124415826926e+03,7.75,68.2396612441583
8.000000000000001332e-06,6.744823663540293637e+03,8,67.4482366354029
8.250000000000000633e-06,6.663928506377873418e+03,8.25,66.6392850637787
8.500000000000001627e-06,6.581649330452121831e+03,8.5,65.8164933045212
8.749999999999999233e-06,6.498309824524526448e+03,8.75,64.9830982452453
9.000000000000000228e-06,6.414193904541240045e+03,9,64.1419390454124
9.249999999999999528e-06,6.329550328673968579e+03,9.25,63.2955032867397
9.500000000000000523e-06,6.244596781008510334e+03,9.5,62.4459678100851
9.750000000000001518e-06,6.159523484589944928e+03,9.75,61.5952348458995
1.000000000000000082e-05,6.074496398189696265e+03,10,60.744963981897
1.025000000000000012e-05,5.989660044820402618e+03,10.25,59.896600448204
1.049999999999999942e-05,5.905140014011603853e+03,10.5,59.051400140116
1.075000000000000041e-05,5.821045175853105320e+03,10.75,58.2104517585311
1.100000000000000141e-05,5.737469639583484422e+03,11,57.3746963958349
1.125000000000000071e-05,5.654494486317639712e+03,11.25,56.5449448631764
1.150000000000000170e-05,5.572189301951906600e+03,11.5,55.7218930195191
1.174999999999999931e-05,5.490613533103969530e+03,11.75,54.9061353310397
1.200000000000000030e-05,5.409817686501787648e+03,12,54.0981768650179
1.224999999999999960e-05,5.329844389977715764e+03,12.25,53.2984438997772
1.250000000000000060e-05,5.250729330724627289e+03,12.5,52.5072933072463
1.275000000000000159e-05,5.172502085275177706e+03,12.75,51.7250208527518
1.300000000000000089e-05,5.095186853440151936e+03,13,50.9518685344015
1.325000000000000189e-05,5.018803107201016246e+03,13.25,50.1880310720102
1.350000000000000119e-05,4.943366164709625082e+03,13.5,49.4336616470963
1.375000000000000218e-05,4.868887697563256552e+03,13.75,48.6888769756326
1.400000000000000148e-05,4.795376179386769763e+03,14,47.9537617938677
1.424999999999999909e-05,4.722837282370047433e+03,14.25,47.2283728237005
1.450000000000000009e-05,4.651274227597638856e+03,14.5,46.5127422759764
1.474999999999999939e-05,4.580688094860222009e+03,14.75,45.8068809486022
1.500000000000000038e-05,4.511078096114270011e+03,15,45.1107809611427
1.524999999999999968e-05,4.442441817361403082e+03,15.25,44.424418173614
1.550000000000000068e-05,4.374775431980055146e+03,15.5,43.7477543198006
1.574999999999999998e-05,4.308073889436358513e+03,15.75,43.0807388943636
1.600000000000000266e-05,4.242331081526348498e+03,16,42.4233108152635
1.625000000000000196e-05,4.177539989442110709e+03,16.25,41.7753998944211
1.650000000000000127e-05,4.113692813230263710e+03,16.5,41.1369281323026
1.675000000000000057e-05,4.050781086135832538e+03,16.75,40.5078108613583
1.700000000000000325e-05,3.988795775458461321e+03,17,39.8879577545846
1.724999999999999917e-05,3.927727371241007859e+03,17.25,39.2772737124101
1.749999999999999847e-05,3.867565964634149168e+03,17.5,38.6756596463415
1.775000000000000116e-05,3.808301316668426352e+03,17.75,38.0830131666843
1.800000000000000046e-05,3.749922918833160111e+03,18,37.4992291883316
1.824999999999999976e-05,3.692420046444465697e+03,18.25,36.9242004644447
1.849999999999999906e-05,3.635781805378373974e+03,18.5,36.3578180537837
1.875000000000000175e-05,3.579997173176658180e+03,18.75,35.7999717317666
1.900000000000000105e-05,3.525055035002427303e+03,19,35.2505503500243
